,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Chad Ruhwedel,D,2012-2013,BUF,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0
1,Chad Ruhwedel,D,2013-2014,BUF,21,0,1,1,-3,2,0,1,0,0,0,0,35,0,0
2,Chad Ruhwedel,D,2014-2015,BUF,4,0,1,1,3,0,0,0,0,0,0,0,4,0,0
3,Chad Ruhwedel,D,2015-2016,BUF,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
4,Chad Ruhwedel,D,2016-2017,PIT,34,2,8,10,9,8,0,3,0,0,0,0,45,4.44,0
5,Chad Ruhwedel,D,2017-2018,PIT,44,2,3,5,-8,16,0,0,0,0,0,0,67,2.99,0
6,Chad Ruhwedel,D,2018-2019,PIT,18,1,1,2,-9,4,0,0,0,0,1,0,22,4.55,0
7,Chad Ruhwedel,D,2019-2020,PIT,41,2,4,6,4,12,0,0,0,0,0,0,44,4.5,0
8,Chad Ruhwedel,D,2020-2021,PIT,17,0,2,2,3,14,0,0,0,0,0,0,16,0,0
9,Chad Ruhwedel,D,2021-2022,PIT,78,4,9,13,2,14,0,0,0,0,0,0,82,4.9,0
10,Chad Ruhwedel,D,2022-2023,PIT,16,0,1,1,1,10,0,0,0,0,0,0,10,0,0
