,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jason Zucker,LW,2011-2012,MIN,6,0,2,2,-2,2,0,0,0,0,0,0,10,0,0
1,Jason Zucker,LW,2012-2013,MIN,20,4,1,5,4,8,0,0,0,0,0,0,34,11.76,0
2,Jason Zucker,LW,2013-2014,MIN,21,4,1,5,2,2,1,2,0,0,1,0,40,10,0
3,Jason Zucker,LW,2014-2015,MIN,51,21,5,26,-9,18,1,1,1,1,3,0,124,16.94,28.57
4,Jason Zucker,LW,2015-2016,MIN,71,13,10,23,-4,20,0,2,1,2,1,1,158,8.23,100
5,Jason Zucker,LW,2016-2017,MIN,79,22,25,47,34,30,1,1,0,0,3,0,172,12.79,20
6,Jason Zucker,LW,2017-2018,MIN,82,33,31,64,8,44,7,16,1,2,7,0,222,14.86,22.22
7,Jason Zucker,LW,2018-2019,MIN,81,21,21,42,-9,28,7,14,0,0,5,1,214,9.81,15.38
8,Jason Zucker,LW,2019-2020,MIN,45,14,15,29,-3,19,5,9,0,0,2,0,75,18.7,30
9,Jason Zucker,LW,2019-2020,PIT,15,6,6,12,-1,2,2,3,0,0,2,0,36,16.7,0
10,Jason Zucker,LW,2020-2021,PIT,38,9,9,18,-8,21,1,4,0,0,1,0,67,13.4,30
11,Jason Zucker,LW,2021-2022,PIT,41,8,9,17,-2,15,2,2,0,0,0,0,102,7.8,26.67
12,Jason Zucker,LW,2022-2023,PIT,29,6,15,21,6,12,0,6,0,0,1,0,69,8.7,20
