,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jeff Petry,D,2010-2011,EDM,35,1,4,5,-12,10,0,3,0,0,0,0,41,2.44,0
1,Jeff Petry,D,2011-2012,EDM,73,2,23,25,-7,26,1,6,0,0,0,0,111,1.8,0
2,Jeff Petry,D,2012-2013,EDM,48,3,9,12,1,29,0,0,1,1,0,0,66,4.55,0
3,Jeff Petry,D,2013-2014,EDM,80,7,10,17,-22,42,1,2,0,0,0,0,96,7.29,0
4,Jeff Petry,D,2014-2015,EDM,59,4,11,15,-25,32,1,4,0,1,1,0,103,3.88,0
5,Jeff Petry,D,2014-2015,MTL,19,3,4,7,-3,10,0,0,0,0,0,0,23,13.04,0
6,Jeff Petry,D,2015-2016,MTL,51,5,11,16,-6,16,1,5,0,3,2,0,98,5.1,100
7,Jeff Petry,D,2016-2017,MTL,80,8,20,28,3,22,2,7,0,0,1,0,172,4.65,0
8,Jeff Petry,D,2017-2018,MTL,82,12,30,42,-30,28,6,23,0,0,2,0,178,6.74,0
9,Jeff Petry,D,2018-2019,MTL,82,13,33,46,-5,28,3,11,0,1,4,2,172,7.56,0
10,Jeff Petry,D,2019-2020,MTL,71,11,29,40,-10,26,3,12,1,1,3,2,158,7,0
11,Jeff Petry,D,2020-2021,MTL,55,12,30,42,6,20,4,15,0,1,2,0,128,9.4,0
12,Jeff Petry,D,2021-2022,MTL,68,6,21,27,-11,36,0,3,0,1,1,0,124,4.8,0
13,Jeff Petry,D,2022-2023,PIT,28,3,9,12,4,18,2,4,0,0,0,0,44,6.8,0
