,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Kris Letang,D,2006-2007,PIT,7,2,0,2,-3,4,2,2,0,0,0,0,8,25,0
1,Kris Letang,D,2007-2008,PIT,63,6,11,17,-1,23,1,9,0,0,3,0,68,8.82,0
2,Kris Letang,D,2008-2009,PIT,74,10,23,33,-7,24,4,11,1,1,3,0,138,7.25,0
3,Kris Letang,D,2009-2010,PIT,73,3,24,27,1,51,0,5,0,0,0,0,174,1.72,0
4,Kris Letang,D,2010-2011,PIT,82,8,42,50,15,101,4,24,0,1,2,1,236,3.39,100
5,Kris Letang,D,2011-2012,PIT,51,10,32,42,21,34,4,15,1,2,3,1,142,7.04,0
6,Kris Letang,D,2012-2013,PIT,35,5,33,38,16,8,1,13,0,0,1,0,95,5.26,0
7,Kris Letang,D,2013-2014,PIT,37,11,11,22,-8,16,6,12,0,0,1,0,108,10.19,0
8,Kris Letang,D,2014-2015,PIT,69,11,43,54,12,79,2,24,1,1,1,0,197,5.58,0
9,Kris Letang,D,2015-2016,PIT,71,16,51,67,9,66,5,27,0,3,2,1,218,7.34,0
10,Kris Letang,D,2016-2017,PIT,41,5,29,34,2,32,2,14,0,1,2,1,122,4.1,0
11,Kris Letang,D,2017-2018,PIT,79,9,42,51,-9,56,4,20,0,1,1,0,222,4.05,0
12,Kris Letang,D,2018-2019,PIT,65,16,40,56,13,48,2,19,1,2,3,1,206,7.77,0
13,Kris Letang,D,2019-2020,PIT,61,15,29,44,0,38,6,15,0,0,2,0,177,8.5,0
14,Kris Letang,D,2020-2021,PIT,55,7,38,45,19,32,1,15,0,1,2,1,132,5.3,0
15,Kris Letang,D,2021-2022,PIT,78,10,58,68,20,49,2,22,0,0,3,2,214,4.7,0
16,Kris Letang,D,2022-2023,PIT,27,2,14,16,-8,10,1,6,1,1,0,0,54,3.7,0
