,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Adam Larsson,D,2011-2012,NJD,65,2,16,18,-7,20,0,4,0,1,0,0,68,2.94,0
1,Adam Larsson,D,2012-2013,NJD,37,0,6,6,4,12,0,0,0,0,0,0,30,0,0
2,Adam Larsson,D,2013-2014,NJD,26,1,2,3,-1,12,0,0,0,0,1,0,20,5,0
3,Adam Larsson,D,2014-2015,NJD,64,3,21,24,2,34,0,0,0,3,1,0,91,3.3,0
4,Adam Larsson,D,2015-2016,NJD,82,3,15,18,15,77,0,0,0,1,1,1,65,4.62,0
5,Adam Larsson,D,2016-2017,EDM,79,4,15,19,21,55,0,0,0,0,0,0,85,4.71,0
6,Adam Larsson,D,2017-2018,EDM,63,4,9,13,10,34,0,0,0,0,1,0,92,4.35,0
7,Adam Larsson,D,2018-2019,EDM,82,3,17,20,-28,44,0,0,0,1,0,0,117,2.56,0
8,Adam Larsson,D,2019-2020,EDM,49,1,5,6,0,35,0,0,0,0,0,0,61,1.6,0
9,Adam Larsson,D,2020-2021,EDM,56,4,6,10,2,24,0,0,0,0,0,0,52,7.7,100
10,Adam Larsson,D,2021-2022,SEA,82,8,17,25,-23,55,0,1,0,0,3,1,119,6.7,0
11,Adam Larsson,D,2022-2023,SEA,32,3,9,12,13,27,0,0,1,1,0,0,50,6,0
