,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jaden Schwartz,C,2011-2012,STL,7,2,1,3,1,0,1,1,0,0,1,0,6,33.33,50
1,Jaden Schwartz,C,2012-2013,STL,45,7,6,13,-4,4,0,0,0,0,1,0,50,14,55.56
2,Jaden Schwartz,C,2013-2014,STL,80,25,31,56,28,27,5,10,3,3,1,0,188,13.3,56.41
3,Jaden Schwartz,C,2014-2015,STL,75,28,35,63,13,16,8,16,0,2,4,1,184,15.22,46.58
4,Jaden Schwartz,C,2015-2016,STL,33,8,14,22,8,8,1,5,0,0,1,1,63,12.7,46.88
5,Jaden Schwartz,C,2016-2017,STL,78,19,36,55,14,18,3,9,0,0,4,1,179,10.61,47.86
6,Jaden Schwartz,C,2017-2018,STL,62,24,35,59,15,26,6,11,1,1,3,1,157,15.29,41.1
7,Jaden Schwartz,C,2018-2019,STL,69,11,25,36,-6,16,2,5,0,0,1,0,183,6.01,48.65
8,Jaden Schwartz,C,2019-2020,STL,71,22,35,57,3,18,9,20,0,0,4,1,162,13.6,45
9,Jaden Schwartz,C,2020-2021,STL,40,8,13,21,2,20,1,3,0,0,1,0,71,11.3,53.85
10,Jaden Schwartz,C,2021-2022,SEA,37,8,15,23,-13,14,1,4,0,0,0,0,101,7.9,48.57
11,Jaden Schwartz,C,2022-2023,SEA,31,8,9,17,-10,8,5,5,0,0,1,0,63,12.7,51.14
