,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Justin Schultz,D,2012-2013,EDM,48,8,19,27,-17,8,4,15,0,0,3,0,85,9.41,0
1,Justin Schultz,D,2013-2014,EDM,74,11,22,33,-22,16,1,12,0,0,3,0,109,10.09,0
2,Justin Schultz,D,2014-2015,EDM,81,6,25,31,-17,12,0,12,0,0,1,0,122,4.92,100
3,Justin Schultz,D,2015-2016,EDM,45,3,7,10,-22,14,1,6,0,0,0,0,59,5.08,0
4,Justin Schultz,D,2015-2016,PIT,18,1,7,8,7,2,1,2,0,0,0,0,23,4.35,0
5,Justin Schultz,D,2016-2017,PIT,78,12,39,51,27,34,3,20,0,0,1,0,154,7.79,0
6,Justin Schultz,D,2017-2018,PIT,63,4,23,27,22,14,0,10,0,0,1,1,109,3.67,0
7,Justin Schultz,D,2018-2019,PIT,29,2,13,15,0,4,1,6,0,0,0,0,47,4.26,0
8,Justin Schultz,D,2019-2020,PIT,46,3,9,12,-13,6,0,6,0,0,0,0,86,3.5,0
9,Justin Schultz,D,2020-2021,WSH,46,3,24,27,12,10,0,8,0,0,1,0,67,4.5,0
10,Justin Schultz,D,2021-2022,WSH,74,4,19,23,-15,16,2,5,0,0,1,0,92,4.3,0
11,Justin Schultz,D,2022-2023,SEA,30,3,14,17,5,22,0,7,0,0,1,1,46,6.5,0
