,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Philipp Grubauer,G,2012-2013,WSH,2,1,0,1,--,0,59,5,3.57,54,.915,0,83:58
1,Philipp Grubauer,G,2013-2014,WSH,17,14,6,5,--,5,469,35,2.38,434,.925,0,883:23
2,Philipp Grubauer,G,2014-2015,WSH,1,1,1,0,--,0,25,2,1.85,23,.920,0,65:00
3,Philipp Grubauer,G,2015-2016,WSH,22,16,8,9,--,1,523,43,2.32,480,.918,0,"1,111:02"
4,Philipp Grubauer,G,2016-2017,WSH,24,19,13,6,--,2,585,43,2.04,542,.926,3,"1,264:34"
5,Philipp Grubauer,G,2017-2018,WSH,35,28,15,10,0,3,953,73,2.35,880,.923,3,"1,864:48"
6,Philipp Grubauer,G,2018-2019,COL,37,33,18,9,0,5,"1,071",89,2.64,982,.917,3,"2,020:44"
7,Philipp Grubauer,G,2019-2020,COL,36,36,18,12,0,4,"1,067",90,2.63,977,.916,2,"2,057:06"
8,Philipp Grubauer,G,2020-2021,COL,40,39,30,9,0,1,993,77,1.95,916,.922,7,"2,366:52"
9,Philipp Grubauer,G,2021-2022,SEA,55,54,18,31,0,5,"1,479",164,3.16,"1,315",.889,2,"3,111:25"
10,Philipp Grubauer,G,2022-2023,SEA,11,10,3,5,0,1,271,32,3.30,239,.882,0,582:36
