,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Erik Karlsson,D,2009-2010,OTT,60,5,21,26,-5,24,1,10,0,0,0,0,112,4.46,0
1,Erik Karlsson,D,2010-2011,OTT,75,13,32,45,-30,50,4,21,0,1,4,0,182,7.14,0
2,Erik Karlsson,D,2011-2012,OTT,81,19,59,78,16,42,3,28,0,0,5,0,261,7.28,0
3,Erik Karlsson,D,2012-2013,OTT,17,6,8,14,8,8,2,4,1,1,2,0,79,7.59,0
4,Erik Karlsson,D,2013-2014,OTT,82,20,54,74,-15,36,5,31,0,0,1,0,257,7.78,0
5,Erik Karlsson,D,2014-2015,OTT,82,21,45,66,7,42,6,30,0,0,3,1,292,7.19,0
6,Erik Karlsson,D,2015-2016,OTT,82,16,66,82,-2,50,1,26,0,0,3,2,248,6.45,0
7,Erik Karlsson,D,2016-2017,OTT,77,17,54,71,10,28,4,27,0,2,5,1,218,7.8,0
8,Erik Karlsson,D,2017-2018,OTT,71,9,53,62,-25,36,3,18,0,1,2,2,196,4.59,0
9,Erik Karlsson,D,2018-2019,SJS,53,3,42,45,6,22,2,20,0,0,1,0,169,1.78,0
10,Erik Karlsson,D,2019-2020,SJS,56,6,34,40,-15,16,1,13,1,1,0,0,120,5,0
11,Erik Karlsson,D,2020-2021,SJS,52,8,14,22,-18,18,3,8,0,1,1,0,110,7.3,0
12,Erik Karlsson,D,2021-2022,SJS,50,10,25,35,-14,14,0,10,0,0,2,1,117,8.5,0
13,Erik Karlsson,D,2022-2023,SJS,35,13,33,46,-5,10,2,13,0,0,3,2,101,12.9,0
