,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Matt Nieto,LW,2013-2014,SJS,66,10,14,24,-4,16,1,4,0,0,2,0,124,8.06,27.27
1,Matt Nieto,LW,2014-2015,SJS,72,10,17,27,-12,20,1,4,0,1,1,0,135,7.41,0
2,Matt Nieto,LW,2015-2016,SJS,67,8,9,17,-8,10,0,1,2,2,1,0,90,8.89,25
3,Matt Nieto,LW,2016-2017,SJS,16,0,2,2,-3,4,0,0,0,0,0,0,24,0,0
4,Matt Nieto,LW,2016-2017,COL,43,7,4,11,-9,4,0,0,0,1,1,0,61,11.48,50
5,Matt Nieto,LW,2017-2018,COL,74,15,11,26,6,14,0,0,1,1,1,0,84,17.86,30.77
6,Matt Nieto,LW,2018-2019,COL,64,4,19,23,2,8,0,0,1,3,1,0,86,4.65,52.94
7,Matt Nieto,LW,2019-2020,COL,70,8,13,21,7,6,0,0,2,2,3,0,85,9.4,40
8,Matt Nieto,LW,2020-2021,SJS,28,5,2,7,-4,4,0,0,0,0,0,0,45,11.1,57.14
9,Matt Nieto,LW,2021-2022,SJS,70,6,11,17,-20,19,0,0,0,0,0,0,82,7.3,15.38
10,Matt Nieto,LW,2022-2023,SJS,31,6,6,12,-12,6,0,1,0,0,1,0,51,11.8,42.86
