,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nick Bonino,C,2009-2010,ANA,9,1,1,2,0,6,1,1,0,0,0,0,14,7.14,43.59
1,Nick Bonino,C,2010-2011,ANA,26,0,0,0,-3,4,0,0,0,0,0,0,23,0,46.99
2,Nick Bonino,C,2011-2012,ANA,50,5,13,18,1,8,0,1,0,0,0,0,63,7.94,42.95
3,Nick Bonino,C,2012-2013,ANA,27,5,8,13,-3,8,1,3,0,0,0,0,37,13.51,46.78
4,Nick Bonino,C,2013-2014,ANA,77,22,27,49,14,22,7,20,0,0,2,1,159,13.84,48.83
5,Nick Bonino,C,2014-2015,VAN,75,15,24,39,7,22,1,5,0,0,6,0,149,10.07,47.39
6,Nick Bonino,C,2015-2016,PIT,63,9,20,29,13,31,2,2,1,1,0,0,97,9.28,50.44
7,Nick Bonino,C,2016-2017,PIT,80,18,19,37,-5,16,6,11,1,1,1,0,142,12.68,47.98
8,Nick Bonino,C,2017-2018,NSH,71,12,13,25,4,20,0,0,0,0,0,0,83,14.46,54.33
9,Nick Bonino,C,2018-2019,NSH,81,17,18,35,27,18,3,3,0,1,1,0,118,14.41,51.77
10,Nick Bonino,C,2019-2020,NSH,67,18,17,35,17,16,1,1,0,0,3,0,104,17.3,52.59
11,Nick Bonino,C,2020-2021,MIN,55,10,16,26,0,26,3,5,0,0,2,0,66,15.2,52.82
12,Nick Bonino,C,2021-2022,SJS,80,16,10,26,-25,18,3,7,1,1,0,0,137,11.7,51.35
13,Nick Bonino,C,2022-2023,SJS,32,4,5,9,-6,10,0,1,0,0,0,0,42,9.5,49.52
