,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Tomas Hertl,C,2013-2014,SJS,37,15,10,25,11,4,3,3,0,0,3,0,98,15.31,56.86
1,Tomas Hertl,C,2014-2015,SJS,82,13,18,31,-5,16,3,6,0,0,4,0,145,8.97,45.78
2,Tomas Hertl,C,2015-2016,SJS,81,21,25,46,16,26,3,7,0,0,3,1,202,10.4,56.02
3,Tomas Hertl,C,2016-2017,SJS,49,10,12,22,-8,14,1,2,0,0,4,0,100,10,51.69
4,Tomas Hertl,C,2017-2018,SJS,79,22,24,46,-2,41,6,12,1,3,5,1,175,12.57,50.78
5,Tomas Hertl,C,2018-2019,SJS,77,35,39,74,5,18,11,15,1,2,5,1,176,19.89,51.48
6,Tomas Hertl,C,2019-2020,SJS,48,16,20,36,-18,16,2,7,2,2,1,0,117,13.7,54.81
7,Tomas Hertl,C,2020-2021,SJS,50,19,24,43,1,27,4,10,1,1,2,0,112,17,55.23
8,Tomas Hertl,C,2021-2022,SJS,82,30,34,64,-9,30,6,16,0,1,6,3,205,14.6,52.46
9,Tomas Hertl,C,2022-2023,SJS,33,11,21,32,0,12,3,9,0,0,1,0,82,13.4,51.78
