,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brandon Saad,LW,2011-2012,CHI,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1,Brandon Saad,LW,2012-2013,CHI,46,10,17,27,17,12,0,3,1,1,2,0,98,10.2,36.96
2,Brandon Saad,LW,2013-2014,CHI,78,19,28,47,20,20,3,9,0,2,2,0,159,11.95,40.98
3,Brandon Saad,LW,2014-2015,CHI,82,23,29,52,7,12,2,10,0,0,6,1,203,11.33,43.18
4,Brandon Saad,LW,2015-2016,CBJ,78,31,22,53,1,14,6,8,0,1,7,0,233,13.3,55.88
5,Brandon Saad,LW,2016-2017,CBJ,82,24,29,53,23,8,1,3,0,0,4,0,210,11.43,44.44
6,Brandon Saad,LW,2017-2018,CHI,82,18,17,35,-10,14,1,1,0,0,8,2,237,7.59,46.28
7,Brandon Saad,LW,2018-2019,CHI,80,23,24,47,-9,12,5,6,3,3,3,0,195,11.79,38.71
8,Brandon Saad,LW,2019-2020,CHI,58,21,12,33,2,16,1,1,2,2,5,0,140,15,39.66
9,Brandon Saad,LW,2020-2021,COL,44,15,9,24,1,12,2,3,0,0,1,0,68,22.1,43.55
10,Brandon Saad,LW,2021-2022,STL,78,24,25,49,11,10,8,13,1,3,1,0,158,15.2,42.11
11,Brandon Saad,LW,2022-2023,STL,27,7,3,10,-6,6,0,0,1,1,0,0,49,14.3,0
