,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brayden Schenn,C,2009-2010,LAK,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,28.57
1,Brayden Schenn,C,2010-2011,LAK,8,0,2,2,-1,0,0,0,0,0,0,0,11,0,33.33
2,Brayden Schenn,C,2011-2012,PHI,54,12,6,18,-7,34,4,5,0,0,3,0,97,12.37,46.1
3,Brayden Schenn,C,2012-2013,PHI,47,8,18,26,-8,24,2,10,0,0,0,0,79,10.13,45.47
4,Brayden Schenn,C,2013-2014,PHI,82,20,21,41,0,54,4,9,0,0,6,1,178,11.24,43.21
5,Brayden Schenn,C,2014-2015,PHI,82,18,29,47,-5,34,7,19,0,0,6,1,156,11.54,46.74
6,Brayden Schenn,C,2015-2016,PHI,80,26,33,59,3,33,11,22,0,0,5,0,178,14.61,44.83
7,Brayden Schenn,C,2016-2017,PHI,79,25,30,55,-13,38,17,28,0,0,7,2,178,14.04,46.96
8,Brayden Schenn,C,2017-2018,STL,82,28,42,70,10,56,8,19,0,0,8,2,210,13.33,48.03
9,Brayden Schenn,C,2018-2019,STL,72,17,37,54,3,40,4,12,0,0,5,1,159,10.69,47.5
10,Brayden Schenn,C,2019-2020,STL,71,25,33,58,3,44,10,21,0,0,4,0,138,18.1,49.02
11,Brayden Schenn,C,2020-2021,STL,56,16,20,36,-2,35,6,9,0,0,2,0,113,14.2,52.3
12,Brayden Schenn,C,2021-2022,STL,62,24,34,58,21,33,7,17,0,0,3,1,111,21.6,49.05
13,Brayden Schenn,C,2022-2023,STL,34,7,19,26,-12,23,1,6,0,0,1,1,55,12.7,42.86
