,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Justin Faulk,D,2011-2012,CAR,66,8,14,22,-16,29,5,12,0,0,2,1,101,7.92,0
1,Justin Faulk,D,2012-2013,CAR,38,5,10,15,1,15,1,3,1,1,0,0,76,6.58,0
2,Justin Faulk,D,2013-2014,CAR,76,5,27,32,-9,37,2,8,0,1,1,0,152,3.29,0
3,Justin Faulk,D,2014-2015,CAR,82,15,34,49,-19,30,7,20,2,2,4,0,238,6.3,0
4,Justin Faulk,D,2015-2016,CAR,64,16,21,37,-22,27,12,17,0,0,4,0,184,8.7,0
5,Justin Faulk,D,2016-2017,CAR,75,17,20,37,-18,32,4,13,0,0,2,0,225,7.56,0
6,Justin Faulk,D,2017-2018,CAR,76,8,23,31,-26,48,3,19,0,0,3,0,211,3.79,0
7,Justin Faulk,D,2018-2019,CAR,82,11,24,35,9,47,6,10,0,0,3,0,217,5.07,0
8,Justin Faulk,D,2019-2020,STL,69,5,11,16,-3,32,1,3,0,1,1,0,147,3.4,0
9,Justin Faulk,D,2020-2021,STL,56,7,18,25,11,35,1,5,0,2,2,1,117,6,0
10,Justin Faulk,D,2021-2022,STL,76,16,31,47,41,43,1,7,0,0,6,1,167,9.6,0
11,Justin Faulk,D,2022-2023,STL,34,5,14,19,-5,10,1,5,0,0,2,1,89,5.6,0
