,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Marco Scandella,D,2010-2011,MIN,20,0,2,2,-9,2,0,0,0,0,0,0,13,0,0
1,Marco Scandella,D,2011-2012,MIN,63,3,9,12,-22,19,1,6,0,0,1,0,77,3.9,0
2,Marco Scandella,D,2012-2013,MIN,6,1,0,1,-1,4,0,0,0,0,0,0,7,14.29,0
3,Marco Scandella,D,2013-2014,MIN,76,3,14,17,10,20,0,0,0,0,1,0,80,3.75,0
4,Marco Scandella,D,2014-2015,MIN,64,11,12,23,8,56,1,5,0,1,4,2,112,9.82,0
5,Marco Scandella,D,2015-2016,MIN,73,5,16,21,6,22,2,3,0,1,0,0,126,3.97,0
6,Marco Scandella,D,2016-2017,MIN,71,4,9,13,-2,25,0,0,0,0,0,0,88,4.55,0
7,Marco Scandella,D,2017-2018,BUF,82,5,17,22,-15,37,0,4,0,1,1,1,138,3.62,0
8,Marco Scandella,D,2018-2019,BUF,63,6,7,13,-13,26,0,0,0,1,1,0,83,7.23,0
9,Marco Scandella,D,2019-2020,BUF,31,3,6,9,9,8,0,0,0,0,0,0,39,7.7,0
10,Marco Scandella,D,2019-2020,MTL,20,1,2,3,1,8,0,0,0,0,0,0,21,4.8,0
11,Marco Scandella,D,2019-2020,STL,11,0,1,1,4,4,0,0,0,0,0,0,17,0,0
12,Marco Scandella,D,2020-2021,STL,49,3,6,9,14,24,0,0,0,1,1,0,55,5.5,0
13,Marco Scandella,D,2021-2022,STL,70,3,11,14,17,18,0,0,0,2,0,0,76,3.9,0
