,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Robert Bortuzzo,D,2011-2012,PIT,6,0,0,0,1,2,0,0,0,0,0,0,3,0,0
1,Robert Bortuzzo,D,2012-2013,PIT,15,2,2,4,3,27,0,0,0,0,0,0,10,20,0
2,Robert Bortuzzo,D,2013-2014,PIT,54,0,10,10,-3,74,0,0,0,1,0,0,50,0,0
3,Robert Bortuzzo,D,2014-2015,PIT,38,2,4,6,-6,68,0,0,0,0,0,0,37,5.41,100
4,Robert Bortuzzo,D,2014-2015,STL,13,1,1,2,-3,25,0,0,0,0,0,0,19,5.26,0
5,Robert Bortuzzo,D,2015-2016,STL,40,2,1,3,2,52,0,0,0,0,0,0,47,4.26,0
6,Robert Bortuzzo,D,2016-2017,STL,38,1,3,4,11,15,0,0,0,0,0,0,45,2.22,0
7,Robert Bortuzzo,D,2017-2018,STL,72,4,9,13,11,41,0,0,0,0,1,0,76,5.26,0
8,Robert Bortuzzo,D,2018-2019,STL,59,2,8,10,9,47,0,0,0,1,0,0,75,2.67,0
9,Robert Bortuzzo,D,2019-2020,STL,42,2,4,6,12,21,0,0,0,0,1,0,36,5.6,0
10,Robert Bortuzzo,D,2020-2021,STL,40,1,4,5,-3,47,0,0,0,0,1,0,31,3.2,0
11,Robert Bortuzzo,D,2021-2022,STL,73,1,5,6,-4,36,0,0,0,0,0,0,47,2.1,0
12,Robert Bortuzzo,D,2022-2023,STL,24,0,0,0,0,23,0,0,0,0,0,0,15,0,0
