,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Thomas Greiss,G,2007-2008,SJS,3,2,0,1,--,1,50,7,3.26,43,.860,0,128:49
1,Thomas Greiss,G,2009-2010,SJS,16,11,7,4,--,1,399,35,2.68,364,.912,0,782:24
2,Thomas Greiss,G,2011-2012,SJS,19,14,9,7,--,1,472,40,2.30,432,.915,0,"1,042:43"
3,Thomas Greiss,G,2012-2013,SJS,6,5,1,4,--,0,153,13,2.53,140,.915,1,308:12
4,Thomas Greiss,G,2013-2014,PHX,25,20,10,8,--,5,626,50,2.29,576,.920,2,"1,312:20"
5,Thomas Greiss,G,2014-2015,PIT,20,18,9,6,--,3,546,50,2.59,496,.908,0,"1,159:37"
6,Thomas Greiss,G,2015-2016,NYI,41,38,23,11,--,4,"1,197",90,2.36,"1,107",.925,1,"2,287:28"
7,Thomas Greiss,G,2016-2017,NYI,51,49,26,18,--,5,"1,453",126,2.69,"1,327",.913,3,"2,813:17"
8,Thomas Greiss,G,2017-2018,NYI,27,25,13,8,0,2,879,95,3.82,784,.892,1,"1,491:45"
9,Thomas Greiss,G,2018-2019,NYI,43,39,23,14,0,2,"1,185",87,2.28,"1,098",.927,5,"2,293:42"
10,Thomas Greiss,G,2019-2020,NYI,31,29,16,9,0,4,838,73,2.74,765,.913,0,"1,595:56"
11,Thomas Greiss,G,2020-2021,DET,34,29,8,15,0,8,894,79,2.70,815,.912,2,"1,755:09"
12,Thomas Greiss,G,2021-2022,DET,31,28,10,15,0,1,842,92,3.66,750,.891,0,"1,507:44"
13,Thomas Greiss,G,2022-2023,STL,11,9,4,5,0,0,371,36,3.55,335,.903,0,608:12
