,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Torey Krug,D,2011-2012,BOS,2,0,1,1,0,0,0,0,0,0,0,0,3,0,0
1,Torey Krug,D,2012-2013,BOS,1,0,1,1,-1,0,0,1,0,0,0,0,0,0,0
2,Torey Krug,D,2013-2014,BOS,79,14,26,40,18,28,6,19,0,0,2,1,183,7.65,50
3,Torey Krug,D,2014-2015,BOS,78,12,27,39,13,20,2,14,0,0,0,0,205,5.85,0
4,Torey Krug,D,2015-2016,BOS,81,4,40,44,9,33,1,19,0,0,1,0,244,1.64,100
5,Torey Krug,D,2016-2017,BOS,81,8,43,51,-10,37,6,25,0,0,1,0,208,3.85,0
6,Torey Krug,D,2017-2018,BOS,76,14,45,59,0,36,5,24,1,1,4,0,197,7.11,0
7,Torey Krug,D,2018-2019,BOS,64,6,47,53,-2,33,2,30,0,0,2,1,151,3.97,0
8,Torey Krug,D,2019-2020,BOS,61,9,40,49,-4,33,2,28,0,0,4,2,144,6.3,0
9,Torey Krug,D,2020-2021,STL,51,2,30,32,11,25,1,13,0,0,0,0,110,1.8,0
10,Torey Krug,D,2021-2022,STL,64,9,34,43,23,48,3,19,1,1,1,0,119,7.6,0
11,Torey Krug,D,2022-2023,STL,31,5,12,17,-20,13,4,8,0,0,1,0,65,7.7,0
