,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Vladimir Tarasenko,RW,2012-2013,STL,38,8,11,19,1,10,3,5,0,0,1,0,75,10.67,100
1,Vladimir Tarasenko,RW,2013-2014,STL,64,21,22,43,20,16,5,7,0,0,3,0,136,15.44,33.33
2,Vladimir Tarasenko,RW,2014-2015,STL,77,37,36,73,27,31,8,18,0,0,6,2,264,14.02,0
3,Vladimir Tarasenko,RW,2015-2016,STL,80,40,34,74,7,37,12,24,0,0,7,2,292,13.7,0
4,Vladimir Tarasenko,RW,2016-2017,STL,82,39,36,75,-1,12,9,22,0,0,8,3,286,13.64,50
5,Vladimir Tarasenko,RW,2017-2018,STL,80,33,33,66,15,17,6,16,0,0,5,2,306,10.78,25
6,Vladimir Tarasenko,RW,2018-2019,STL,76,33,35,68,8,22,12,22,0,0,5,1,275,12,66.67
7,Vladimir Tarasenko,RW,2019-2020,STL,10,3,7,10,-2,0,1,3,0,0,0,0,26,11.5,0
8,Vladimir Tarasenko,RW,2020-2021,STL,24,4,10,14,-7,0,2,6,0,0,0,0,65,6.2,0
9,Vladimir Tarasenko,RW,2021-2022,STL,75,34,48,82,7,32,5,22,0,1,9,0,230,14.8,36.36
10,Vladimir Tarasenko,RW,2022-2023,STL,32,10,18,28,-11,8,2,8,1,1,0,0,85,11.8,0
