,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Brian Elliott,G,2007-2008,OTT,1,1,1,0,--,0,29,1,1.01,28,.966,0,59:42
1,Brian Elliott,G,2008-2009,OTT,31,30,16,8,--,3,786,77,2.77,709,.902,1,"1,667:02"
2,Brian Elliott,G,2009-2010,OTT,55,48,29,18,--,4,"1,424",130,2.57,"1,294",.909,5,"3,037:56"
3,Brian Elliott,G,2010-2011,OTT,43,39,13,19,--,8,"1,147",122,3.19,"1,025",.894,3,"2,292:58"
4,Brian Elliott,G,2010-2011,COL,12,12,2,8,--,1,404,44,3.83,360,.891,0,690:10
5,Brian Elliott,G,2011-2012,STL,38,36,23,10,--,4,972,58,1.56,914,.940,9,"2,234:35"
6,Brian Elliott,G,2012-2013,STL,24,20,14,8,--,1,526,49,2.28,477,.907,3,"1,291:56"
7,Brian Elliott,G,2013-2014,STL,31,25,18,6,--,2,681,53,1.96,628,.922,4,"1,624:19"
8,Brian Elliott,G,2014-2015,STL,46,45,26,14,--,3,"1,150",96,2.26,"1,054",.917,5,"2,545:48"
9,Brian Elliott,G,2015-2016,STL,42,38,23,8,--,6,"1,113",78,2.07,"1,035",.930,4,"2,263:00"
10,Brian Elliott,G,2016-2017,CGY,49,45,26,18,--,3,"1,338",121,2.55,"1,217",.910,2,"2,844:25"
11,Brian Elliott,G,2017-2018,PHI,43,42,23,11,0,7,"1,228",112,2.66,"1,116",.909,1,"2,522:00"
12,Brian Elliott,G,2018-2019,PHI,26,23,11,11,0,1,741,69,2.96,672,.907,1,"1,396:43"
13,Brian Elliott,G,2019-2020,PHI,31,27,16,7,0,4,796,80,2.87,716,.899,2,"1,673:54"
14,Brian Elliott,G,2020-2021,PHI,30,26,15,9,0,2,738,82,3.06,656,.889,2,"1,607:43"
15,Brian Elliott,G,2021-2022,TBL,19,17,11,4,0,3,489,43,2.43,446,.912,1,"1,063:25"
16,Brian Elliott,G,2022-2023,TBL,9,9,7,2,0,0,283,30,3.31,253,.894,0,543:40
