,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Vladislav Namestnikov,C,2013-2014,TBL,4,0,0,0,-1,4,0,0,0,0,0,0,4,0,46.15
1,Vladislav Namestnikov,C,2014-2015,TBL,43,9,7,16,1,13,1,2,0,0,3,0,46,19.57,45.16
2,Vladislav Namestnikov,C,2015-2016,TBL,80,14,21,35,17,45,1,4,0,0,2,2,106,13.21,44.76
3,Vladislav Namestnikov,C,2016-2017,TBL,74,10,18,28,-4,31,3,6,0,1,0,0,114,8.77,43.54
4,Vladislav Namestnikov,C,2017-2018,TBL,62,20,24,44,11,35,8,15,0,0,2,0,127,15.75,47.29
5,Vladislav Namestnikov,C,2017-2018,NYR,19,2,2,4,-5,10,1,1,0,0,0,0,28,7.14,40.85
6,Vladislav Namestnikov,C,2018-2019,NYR,78,11,20,31,-7,44,1,3,2,5,3,0,119,9.24,40.74
7,Vladislav Namestnikov,C,2019-2020,NYR,2,0,0,0,-2,2,0,0,0,0,0,0,3,0,50
8,Vladislav Namestnikov,C,2019-2020,OTT,54,13,12,25,-5,35,1,3,4,6,2,0,85,15.3,50
9,Vladislav Namestnikov,C,2019-2020,COL,9,4,2,6,2,8,1,1,0,0,0,0,10,40,20
10,Vladislav Namestnikov,C,2020-2021,DET,53,8,9,17,-5,24,0,0,0,0,0,0,87,9.2,39.13
11,Vladislav Namestnikov,C,2021-2022,DET,60,13,12,25,1,34,0,0,1,1,0,0,81,16,50
12,Vladislav Namestnikov,C,2021-2022,DAL,15,3,2,5,1,11,0,1,0,0,1,0,10,30,43.24
13,Vladislav Namestnikov,C,2022-2023,TBL,31,2,6,8,-5,11,0,2,0,0,0,0,46,4.3,36.89
