,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jordie Benn,D,2011-2012,DAL,3,0,2,2,1,0,0,0,0,0,0,0,1,0,0
1,Jordie Benn,D,2012-2013,DAL,26,1,5,6,-4,10,1,1,0,0,0,0,31,3.23,0
2,Jordie Benn,D,2013-2014,DAL,78,3,17,20,16,30,1,2,0,1,0,0,91,3.3,100
3,Jordie Benn,D,2014-2015,DAL,73,2,14,16,-5,34,0,2,0,0,0,0,70,2.86,0
4,Jordie Benn,D,2015-2016,DAL,64,3,9,12,2,21,1,1,0,1,2,0,58,5.17,0
5,Jordie Benn,D,2016-2017,DAL,58,2,13,15,-3,24,0,2,0,1,0,0,59,3.39,0
6,Jordie Benn,D,2016-2017,MTL,13,2,0,2,-1,4,0,0,0,0,1,0,9,22.22,0
7,Jordie Benn,D,2017-2018,MTL,77,4,11,15,-2,34,0,0,0,0,0,0,106,3.77,0
8,Jordie Benn,D,2018-2019,MTL,81,5,17,22,15,39,0,0,0,0,1,0,93,5.38,0
9,Jordie Benn,D,2019-2020,VAN,44,1,6,7,-7,17,0,0,0,0,1,0,58,1.7,0
10,Jordie Benn,D,2020-2021,VAN,31,1,8,9,5,9,0,0,0,0,0,0,39,2.6,0
11,Jordie Benn,D,2020-2021,WPG,8,0,1,1,2,0,0,0,0,0,0,0,6,0,0
12,Jordie Benn,D,2021-2022,MIN,39,1,7,8,1,10,0,0,0,0,0,0,37,2.7,0
13,Jordie Benn,D,2022-2023,TOR,7,1,1,2,1,10,0,0,0,0,1,0,10,10,0
