,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,TJ Brodie,D,2010-2011,CGY,3,0,0,0,-3,2,0,0,0,0,0,0,1,0,0
1,TJ Brodie,D,2011-2012,CGY,54,2,12,14,3,14,1,6,0,0,2,0,44,4.55,0
2,TJ Brodie,D,2012-2013,CGY,47,2,12,14,-9,8,0,6,0,0,0,0,44,4.55,0
3,TJ Brodie,D,2013-2014,CGY,81,4,27,31,0,20,1,7,0,2,2,1,104,3.85,0
4,TJ Brodie,D,2014-2015,CGY,81,11,30,41,15,30,3,9,1,3,3,1,133,8.27,0
5,TJ Brodie,D,2015-2016,CGY,70,6,39,45,4,18,2,9,0,2,1,1,79,7.59,0
6,TJ Brodie,D,2016-2017,CGY,82,6,30,36,-16,24,1,12,1,2,2,1,78,7.69,0
7,TJ Brodie,D,2017-2018,CGY,73,4,28,32,-16,18,1,11,0,0,0,0,118,3.39,0
8,TJ Brodie,D,2018-2019,CGY,79,9,25,34,29,24,1,4,1,1,1,1,102,8.82,0
9,TJ Brodie,D,2019-2020,CGY,64,4,15,19,7,36,0,1,0,0,1,1,65,6.2,0
10,TJ Brodie,D,2020-2021,TOR,56,1,13,14,23,12,0,3,0,0,0,0,48,2.1,0
11,TJ Brodie,D,2021-2022,TOR,82,4,24,28,20,34,0,1,0,2,0,0,68,5.9,0
12,TJ Brodie,D,2022-2023,TOR,22,1,4,5,3,4,0,0,0,1,0,0,26,3.8,0
