,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Wayne Simmonds,RW,2008-2009,LAK,82,9,14,23,-8,73,2,5,0,1,2,0,127,7.09,36
1,Wayne Simmonds,RW,2009-2010,LAK,78,16,24,40,22,116,0,0,0,0,2,0,127,12.6,30
2,Wayne Simmonds,RW,2010-2011,LAK,80,14,16,30,-2,75,1,1,0,0,3,0,117,11.97,36.84
3,Wayne Simmonds,RW,2011-2012,PHI,82,28,21,49,-1,114,11,16,0,0,4,0,197,14.21,41.18
4,Wayne Simmonds,RW,2012-2013,PHI,45,15,17,32,-7,84,6,16,0,0,4,0,110,13.64,66.67
5,Wayne Simmonds,RW,2013-2014,PHI,82,29,31,60,-4,106,15,24,0,0,4,0,209,13.88,50
6,Wayne Simmonds,RW,2014-2015,PHI,75,28,22,50,-5,66,14,24,0,0,6,0,188,14.89,80
7,Wayne Simmonds,RW,2015-2016,PHI,81,32,28,60,-7,147,13,21,0,0,5,0,229,13.97,71.43
8,Wayne Simmonds,RW,2016-2017,PHI,82,31,23,54,-18,122,16,25,2,2,4,1,224,13.84,47.06
9,Wayne Simmonds,RW,2017-2018,PHI,75,24,22,46,-16,57,11,17,1,1,5,1,176,13.64,57.14
10,Wayne Simmonds,RW,2018-2019,PHI,62,16,11,27,-20,90,5,8,0,0,2,0,136,11.76,25
11,Wayne Simmonds,RW,2018-2019,NSH,17,1,2,3,4,9,0,0,0,0,0,0,21,4.76,0
12,Wayne Simmonds,RW,2019-2020,NJD,61,8,16,24,-17,64,5,9,0,0,1,0,110,7.3,40.28
13,Wayne Simmonds,RW,2019-2020,BUF,7,0,1,1,-4,2,0,0,0,0,0,0,9,0,0
14,Wayne Simmonds,RW,2020-2021,TOR,38,7,2,9,-3,45,3,3,0,0,0,0,62,11.3,50
15,Wayne Simmonds,RW,2021-2022,TOR,72,5,11,16,-7,96,0,1,0,0,2,0,79,6.3,50
16,Wayne Simmonds,RW,2022-2023,TOR,7,0,1,1,0,8,0,0,0,0,0,0,6,0,0
