,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Curtis Lazar,C,2014-2015,OTT,67,6,9,15,1,14,0,0,0,0,0,0,92,6.52,47.25
1,Curtis Lazar,C,2015-2016,OTT,76,6,14,20,-1,18,1,2,1,4,0,0,78,7.69,43.75
2,Curtis Lazar,C,2016-2017,OTT,33,0,1,1,-10,4,0,0,0,0,0,0,24,0,37.33
3,Curtis Lazar,C,2016-2017,CGY,4,1,2,3,2,0,0,0,0,0,0,0,2,50,45.83
4,Curtis Lazar,C,2017-2018,CGY,65,2,10,12,-8,23,0,0,0,0,1,0,65,3.08,39.67
5,Curtis Lazar,C,2018-2019,CGY,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,75
6,Curtis Lazar,C,2019-2020,BUF,38,5,5,10,-3,9,0,0,0,1,0,0,33,15.2,51.25
7,Curtis Lazar,C,2020-2021,BUF,33,5,4,9,-4,0,0,0,0,0,1,0,35,14.3,50.71
8,Curtis Lazar,C,2020-2021,BOS,17,2,2,4,-2,6,0,0,0,0,0,0,20,10,42.74
9,Curtis Lazar,C,2021-2022,BOS,70,8,8,16,-2,16,0,0,0,1,0,0,95,8.4,48.92
10,Curtis Lazar,C,2022-2023,VAN,23,1,1,2,-1,4,0,0,0,0,0,0,31,3.2,41.43
