,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Luke Schenn,D,2008-2009,TOR,70,2,12,14,-12,71,1,1,0,0,0,0,102,1.96,0
1,Luke Schenn,D,2009-2010,TOR,79,5,12,17,2,50,0,0,0,0,1,0,101,4.95,0
2,Luke Schenn,D,2010-2011,TOR,82,5,17,22,-7,34,0,0,0,1,0,0,128,3.91,0
3,Luke Schenn,D,2011-2012,TOR,79,2,20,22,-6,62,0,1,0,1,0,0,81,2.47,0
4,Luke Schenn,D,2012-2013,PHI,47,3,8,11,3,34,0,0,0,0,0,0,81,3.7,0
5,Luke Schenn,D,2013-2014,PHI,79,4,8,12,0,58,0,0,0,1,0,0,78,5.13,0
6,Luke Schenn,D,2014-2015,PHI,58,3,11,14,-2,18,0,0,0,0,0,0,67,4.48,0
7,Luke Schenn,D,2015-2016,PHI,29,2,3,5,-7,30,0,0,0,0,0,0,19,10.53,50
8,Luke Schenn,D,2015-2016,LAK,43,2,9,11,5,52,1,1,0,0,0,0,57,3.51,0
9,Luke Schenn,D,2016-2017,ARI,78,1,7,8,-9,85,0,0,0,0,0,0,94,1.06,0
10,Luke Schenn,D,2017-2018,ARI,64,1,6,7,-12,35,0,0,0,0,1,0,59,1.69,0
11,Luke Schenn,D,2018-2019,ANA,8,0,0,0,-6,7,0,0,0,0,0,0,7,0,0
12,Luke Schenn,D,2018-2019,VAN,18,0,2,2,-4,9,0,0,0,0,0,0,23,0,0
13,Luke Schenn,D,2019-2020,TBL,25,1,2,3,-8,23,0,0,0,0,0,0,31,3.2,0
14,Luke Schenn,D,2020-2021,TBL,38,2,2,4,2,51,0,0,0,0,0,0,43,4.7,0
15,Luke Schenn,D,2021-2022,VAN,66,5,12,17,15,61,0,0,1,1,1,0,78,6.4,0
16,Luke Schenn,D,2022-2023,VAN,33,2,7,9,4,52,0,0,0,0,0,0,43,4.7,0
