,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Oliver Ekman-Larsson,D,2010-2011,PHX,48,1,10,11,3,24,0,2,0,0,0,0,50,2,0
1,Oliver Ekman-Larsson,D,2011-2012,PHX,82,13,19,32,0,32,2,8,1,1,2,0,147,8.84,0
2,Oliver Ekman-Larsson,D,2012-2013,PHX,48,3,21,24,5,26,0,8,0,0,1,0,101,2.97,0
3,Oliver Ekman-Larsson,D,2013-2014,PHX,80,15,29,44,-4,50,8,22,0,0,6,1,199,7.54,0
4,Oliver Ekman-Larsson,D,2014-2015,ARI,82,23,20,43,-18,40,10,20,1,1,7,3,264,8.71,0
5,Oliver Ekman-Larsson,D,2015-2016,ARI,75,21,34,55,-6,96,12,27,0,0,8,2,228,9.21,0
6,Oliver Ekman-Larsson,D,2016-2017,ARI,79,12,27,39,-25,48,8,19,0,0,1,1,145,8.28,0
7,Oliver Ekman-Larsson,D,2017-2018,ARI,82,14,28,42,-28,44,6,15,0,0,3,0,202,6.93,0
8,Oliver Ekman-Larsson,D,2018-2019,ARI,81,14,30,44,-16,52,5,19,1,3,2,0,176,7.95,0
9,Oliver Ekman-Larsson,D,2019-2020,ARI,66,9,21,30,-3,38,2,7,1,1,1,0,135,6.7,0
10,Oliver Ekman-Larsson,D,2020-2021,ARI,46,3,21,24,-17,32,2,14,0,0,0,0,83,3.6,0
11,Oliver Ekman-Larsson,D,2021-2022,VAN,79,5,24,29,5,52,3,10,0,0,1,0,168,3,0
12,Oliver Ekman-Larsson,D,2022-2023,VAN,33,1,14,15,-10,16,0,3,0,1,0,0,57,1.8,0
