,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Alec Martinez,D,2009-2010,LAK,4,0,0,0,-2,2,0,0,0,0,0,0,6,0,0
1,Alec Martinez,D,2010-2011,LAK,60,5,11,16,11,18,1,5,0,0,0,0,74,6.76,0
2,Alec Martinez,D,2011-2012,LAK,51,6,6,12,-1,8,3,7,0,0,0,0,78,7.69,0
3,Alec Martinez,D,2012-2013,LAK,27,1,4,5,-2,10,0,1,0,0,0,0,30,3.33,0
4,Alec Martinez,D,2013-2014,LAK,61,11,11,22,17,14,3,8,0,0,2,0,79,13.92,0
5,Alec Martinez,D,2014-2015,LAK,56,6,16,22,9,10,1,4,0,0,1,0,103,5.83,0
6,Alec Martinez,D,2015-2016,LAK,78,10,21,31,16,40,4,13,0,1,4,1,124,8.06,0
7,Alec Martinez,D,2016-2017,LAK,82,9,30,39,-17,24,2,15,1,1,3,2,144,6.25,0
8,Alec Martinez,D,2017-2018,LAK,77,9,16,25,3,34,2,11,0,1,0,0,111,8.11,0
9,Alec Martinez,D,2018-2019,LAK,60,4,14,18,-2,8,0,2,0,0,2,0,78,5.13,0
10,Alec Martinez,D,2019-2020,LAK,41,1,7,8,-9,17,0,2,0,0,0,0,59,1.7,0
11,Alec Martinez,D,2019-2020,VGK,10,2,6,8,5,6,0,2,0,0,0,0,16,12.5,0
12,Alec Martinez,D,2020-2021,VGK,53,9,23,32,26,12,3,9,0,0,2,0,85,10.6,0
13,Alec Martinez,D,2021-2022,VGK,26,3,5,8,6,4,0,0,0,0,0,0,32,9.4,0
14,Alec Martinez,D,2022-2023,VGK,36,0,5,5,6,14,0,0,0,0,0,0,33,0,0
