,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Alex Pietrangelo,D,2008-2009,STL,8,0,1,1,0,2,0,1,0,0,0,0,7,0,0
1,Alex Pietrangelo,D,2009-2010,STL,9,1,1,2,-9,6,0,1,0,0,0,0,7,14.29,0
2,Alex Pietrangelo,D,2010-2011,STL,79,11,32,43,18,19,4,14,0,1,1,0,161,6.83,0
3,Alex Pietrangelo,D,2011-2012,STL,81,12,39,51,16,36,6,24,0,1,6,1,202,5.94,0
4,Alex Pietrangelo,D,2012-2013,STL,47,5,19,24,0,10,2,6,0,1,0,0,93,5.38,0
5,Alex Pietrangelo,D,2013-2014,STL,81,8,43,51,20,32,2,18,0,1,1,0,164,4.88,0
6,Alex Pietrangelo,D,2014-2015,STL,81,7,39,46,-2,28,1,12,0,0,2,0,195,3.59,0
7,Alex Pietrangelo,D,2015-2016,STL,73,7,30,37,10,20,1,5,0,1,1,1,182,3.85,0
8,Alex Pietrangelo,D,2016-2017,STL,80,14,34,48,3,24,6,19,0,0,4,0,181,7.73,0
9,Alex Pietrangelo,D,2017-2018,STL,78,15,39,54,8,22,3,13,0,1,5,1,216,6.94,0
10,Alex Pietrangelo,D,2018-2019,STL,71,13,28,41,2,22,3,15,0,1,2,0,168,7.74,0
11,Alex Pietrangelo,D,2019-2020,STL,70,16,36,52,11,20,6,22,0,1,3,0,225,7.1,0
12,Alex Pietrangelo,D,2020-2021,VGK,41,7,16,23,20,16,0,4,0,1,2,1,126,5.6,0
13,Alex Pietrangelo,D,2021-2022,VGK,80,13,31,44,7,42,3,13,1,4,0,0,227,5.7,0
14,Alex Pietrangelo,D,2022-2023,VGK,27,4,22,26,1,6,1,10,0,0,1,0,61,6.6,0
