,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brayden McNabb,D,2011-2012,BUF,25,1,7,8,-1,15,1,1,0,0,0,0,23,4.35,0
1,Brayden McNabb,D,2013-2014,BUF,12,0,0,0,1,6,0,0,0,0,0,0,10,0,0
2,Brayden McNabb,D,2014-2015,LAK,71,2,22,24,11,52,0,5,0,0,1,0,74,2.7,100
3,Brayden McNabb,D,2015-2016,LAK,81,2,12,14,11,92,0,1,0,1,1,0,91,2.2,0
4,Brayden McNabb,D,2016-2017,LAK,49,2,2,4,1,54,0,0,0,0,0,0,47,4.26,0
5,Brayden McNabb,D,2017-2018,VGK,76,5,10,15,26,52,0,0,0,0,1,0,88,5.68,0
6,Brayden McNabb,D,2018-2019,VGK,81,4,12,16,11,52,0,0,0,1,1,0,84,4.76,0
7,Brayden McNabb,D,2019-2020,VGK,71,2,7,9,1,40,0,0,1,1,0,0,73,2.7,0
8,Brayden McNabb,D,2020-2021,VGK,41,2,6,8,10,16,0,0,0,0,0,0,39,5.1,0
9,Brayden McNabb,D,2021-2022,VGK,69,3,15,18,10,42,0,0,0,1,0,0,85,3.5,0
10,Brayden McNabb,D,2022-2023,VGK,36,0,10,10,14,12,0,0,0,2,0,0,50,0,0
