,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jonathan Marchessault,C,2012-2013,CBJ,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
1,Jonathan Marchessault,C,2014-2015,TBL,2,1,0,1,1,0,0,0,0,0,0,0,3,33.33,33.33
2,Jonathan Marchessault,C,2015-2016,TBL,45,7,11,18,-10,17,4,7,0,0,1,0,81,8.64,48.1
3,Jonathan Marchessault,C,2016-2017,FLA,75,30,21,51,-21,38,8,18,0,0,6,1,193,15.54,45.19
4,Jonathan Marchessault,C,2017-2018,VGK,77,27,48,75,36,40,6,16,0,0,6,2,268,10.07,43.49
5,Jonathan Marchessault,C,2018-2019,VGK,82,25,34,59,2,52,5,16,0,0,6,1,278,8.99,37.25
6,Jonathan Marchessault,C,2019-2020,VGK,66,22,25,47,6,28,6,12,0,0,3,1,235,9.4,42.65
7,Jonathan Marchessault,C,2020-2021,VGK,55,18,26,44,19,39,3,6,0,0,4,2,176,10.2,46.59
8,Jonathan Marchessault,C,2021-2022,VGK,76,30,36,66,3,36,5,20,0,0,4,0,251,12,43
9,Jonathan Marchessault,C,2022-2023,VGK,35,14,13,27,-2,9,7,12,0,0,2,1,121,11.6,37.5
