,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,William Karlsson,C,2014-2015,ANA,18,2,1,3,1,2,0,1,0,0,1,0,24,8.33,48.78
1,William Karlsson,C,2014-2015,CBJ,3,1,1,2,2,0,0,0,0,0,0,0,5,20,39.39
2,William Karlsson,C,2015-2016,CBJ,81,9,11,20,-9,6,0,0,0,0,1,0,108,8.33,45.66
3,William Karlsson,C,2016-2017,CBJ,81,6,19,25,10,10,1,1,0,2,3,0,96,6.25,45.31
4,William Karlsson,C,2017-2018,VGK,82,43,35,78,49,12,8,16,4,5,6,1,184,23.37,48.03
5,William Karlsson,C,2018-2019,VGK,82,24,32,56,1,16,7,14,1,3,5,0,169,14.2,47.65
6,William Karlsson,C,2019-2020,VGK,63,15,31,46,11,16,2,8,2,5,1,0,138,10.9,51.9
7,William Karlsson,C,2020-2021,VGK,56,14,25,39,19,4,1,8,0,1,4,1,111,12.6,54.01
8,William Karlsson,C,2021-2022,VGK,67,12,23,35,3,10,1,3,2,2,0,0,135,8.9,51.68
9,William Karlsson,C,2022-2023,VGK,36,7,18,25,2,2,1,6,0,3,2,0,70,10,56.06
