,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brenden Dillon,D,2011-2012,DAL,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
1,Brenden Dillon,D,2012-2013,DAL,48,3,5,8,1,65,0,0,0,0,1,0,75,4,0
2,Brenden Dillon,D,2013-2014,DAL,80,6,11,17,9,86,0,0,2,2,1,0,97,6.19,0
3,Brenden Dillon,D,2014-2015,DAL,20,0,1,1,-2,23,0,0,0,0,0,0,16,0,0
4,Brenden Dillon,D,2014-2015,SJS,60,2,7,9,-11,54,0,0,1,2,1,0,75,2.67,0
5,Brenden Dillon,D,2015-2016,SJS,76,2,9,11,8,61,0,0,0,0,1,0,93,2.15,0
6,Brenden Dillon,D,2016-2017,SJS,81,2,8,10,-2,60,0,0,0,0,0,0,86,2.33,0
7,Brenden Dillon,D,2017-2018,SJS,81,5,17,22,-7,60,0,0,0,0,0,0,88,5.68,0
8,Brenden Dillon,D,2018-2019,SJS,82,1,21,22,19,61,0,0,1,1,0,0,71,1.41,0
9,Brenden Dillon,D,2019-2020,SJS,59,1,13,14,0,83,0,0,0,1,0,0,48,2.1,0
10,Brenden Dillon,D,2019-2020,WSH,10,0,0,0,-2,21,0,0,0,0,0,0,10,0,0
11,Brenden Dillon,D,2020-2021,WSH,56,2,17,19,15,49,0,1,0,1,0,0,51,3.9,0
12,Brenden Dillon,D,2021-2022,WPG,79,3,17,20,16,67,0,0,0,0,0,0,85,3.5,0
13,Brenden Dillon,D,2022-2023,WPG,34,0,9,9,1,44,0,0,0,1,0,0,43,0,0
