,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Mark Scheifele,C,2011-2012,WPG,7,1,0,1,0,0,1,1,0,0,0,0,5,20,35.29
1,Mark Scheifele,C,2012-2013,WPG,4,0,0,0,0,0,0,0,0,0,0,0,6,0,71.43
2,Mark Scheifele,C,2013-2014,WPG,63,13,21,34,9,14,1,4,0,0,2,1,100,13,42.17
3,Mark Scheifele,C,2014-2015,WPG,82,15,34,49,11,24,3,13,0,0,2,0,170,8.82,42.86
4,Mark Scheifele,C,2015-2016,WPG,71,29,32,61,16,48,7,11,0,0,3,1,194,14.95,44.17
5,Mark Scheifele,C,2016-2017,WPG,79,32,50,82,18,38,7,15,0,2,5,2,160,20,43.46
6,Mark Scheifele,C,2017-2018,WPG,60,23,37,60,19,18,8,16,2,3,3,0,125,18.4,51.25
7,Mark Scheifele,C,2018-2019,WPG,82,38,46,84,8,38,12,23,0,3,6,3,199,19.1,46.26
8,Mark Scheifele,C,2019-2020,WPG,71,29,44,73,2,45,10,20,0,0,6,2,170,17.1,46.94
9,Mark Scheifele,C,2020-2021,WPG,56,21,42,63,-4,12,4,17,0,0,4,0,126,16.7,49.79
10,Mark Scheifele,C,2021-2022,WPG,67,29,41,70,-17,23,7,19,0,0,3,2,159,18.2,50.71
11,Mark Scheifele,C,2022-2023,WPG,34,20,8,28,-1,28,6,8,0,0,2,1,93,21.5,45.86
