,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nate Schmidt,D,2013-2014,WSH,29,2,4,6,4,6,0,0,0,0,0,0,41,4.88,0
1,Nate Schmidt,D,2014-2015,WSH,39,1,3,4,-2,10,0,0,0,0,0,0,40,2.5,0
2,Nate Schmidt,D,2015-2016,WSH,72,2,14,16,12,16,0,0,0,0,1,0,80,2.5,0
3,Nate Schmidt,D,2016-2017,WSH,60,3,14,17,22,16,0,0,0,1,0,0,60,5,0
4,Nate Schmidt,D,2017-2018,VGK,76,5,31,36,19,16,1,11,0,0,1,0,103,4.85,0
5,Nate Schmidt,D,2018-2019,VGK,61,9,21,30,22,8,1,8,0,0,1,0,112,8.04,0
6,Nate Schmidt,D,2019-2020,VGK,59,7,24,31,11,12,1,7,0,0,0,0,112,6.3,0
7,Nate Schmidt,D,2020-2021,VAN,54,5,10,15,-7,4,0,0,0,1,1,0,76,6.6,0
8,Nate Schmidt,D,2021-2022,WPG,77,4,28,32,-4,10,1,11,0,1,1,0,117,3.4,0
9,Nate Schmidt,D,2022-2023,WPG,29,3,3,6,6,2,2,3,0,0,0,0,37,8.1,0
