,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Sam Gagner,C,2007-2008,EDM,79,13,36,49,-21,23,4,16,0,0,1,0,135,9.63,41.81
1,Sam Gagner,C,2008-2009,EDM,76,16,25,41,-1,51,6,11,0,0,1,0,156,10.26,42.03
2,Sam Gagner,C,2009-2010,EDM,68,15,26,41,-8,33,6,17,0,0,1,0,170,8.82,47.39
3,Sam Gagner,C,2010-2011,EDM,68,15,27,42,-17,37,3,9,1,1,2,0,138,10.87,43.85
4,Sam Gagner,C,2011-2012,EDM,75,18,29,47,5,36,6,12,0,0,0,0,149,12.08,47.65
5,Sam Gagner,C,2012-2013,EDM,48,14,24,38,-6,23,4,15,0,2,1,1,113,12.39,43.86
6,Sam Gagner,C,2013-2014,EDM,67,10,27,37,-29,41,1,7,0,1,1,0,143,6.99,46.83
7,Sam Gagner,C,2014-2015,ARI,81,15,26,41,-28,28,6,12,0,0,1,1,183,8.2,46.82
8,Sam Gagner,C,2015-2016,PHI,53,8,8,16,4,25,2,3,0,0,2,0,86,9.3,35.05
9,Sam Gagner,C,2016-2017,CBJ,81,18,32,50,10,22,8,18,0,0,1,0,178,10.11,47.53
10,Sam Gagner,C,2017-2018,VAN,74,10,21,31,-18,35,3,11,0,0,2,1,164,6.1,47.72
11,Sam Gagner,C,2018-2019,VAN,7,1,2,3,-3,4,1,1,0,0,0,0,17,5.88,44.44
12,Sam Gagner,C,2018-2019,EDM,25,5,5,10,-3,10,0,0,0,0,1,0,51,9.8,51.65
13,Sam Gagner,C,2019-2020,EDM,36,5,7,12,-9,10,1,2,0,0,0,0,69,7.2,47.13
14,Sam Gagner,C,2019-2020,DET,6,1,0,1,-1,2,1,1,0,0,0,0,10,10,26.67
15,Sam Gagner,C,2020-2021,DET,42,7,8,15,-4,15,1,1,0,0,1,0,88,8,46.11
16,Sam Gagner,C,2021-2022,DET,81,13,18,31,-4,32,0,1,1,1,0,0,132,9.8,46.71
17,Sam Gagner,C,2022-2023,WPG,31,6,5,11,1,8,1,3,0,0,1,0,58,10.3,28.21
