,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Carl Hagelin,LW,2011-2012,NYR,64,14,24,38,21,24,0,0,2,2,2,0,131,10.69,16.67
1,Carl Hagelin,LW,2012-2013,NYR,48,10,14,24,10,18,1,1,0,0,1,0,132,7.58,41.18
2,Carl Hagelin,LW,2013-2014,NYR,72,17,16,33,8,44,0,0,1,1,5,0,144,11.81,0
3,Carl Hagelin,LW,2014-2015,NYR,82,17,18,35,18,46,1,1,0,1,4,1,185,9.19,35.29
4,Carl Hagelin,LW,2015-2016,ANA,43,4,8,12,-10,14,0,0,0,0,0,0,82,4.88,42.86
5,Carl Hagelin,LW,2015-2016,PIT,37,10,17,27,18,18,0,0,0,2,6,0,96,10.42,42.86
6,Carl Hagelin,LW,2016-2017,PIT,61,6,16,22,10,16,0,0,0,1,2,0,128,4.69,50
7,Carl Hagelin,LW,2017-2018,PIT,81,10,21,31,8,28,0,0,1,2,2,0,169,5.92,42.86
8,Carl Hagelin,LW,2018-2019,PIT,16,1,2,3,2,12,0,0,0,0,0,0,28,3.57,14.29
9,Carl Hagelin,LW,2018-2019,LAK,22,1,4,5,-2,8,0,0,0,0,1,0,36,2.78,15.38
10,Carl Hagelin,LW,2018-2019,WSH,20,3,8,11,7,10,0,0,0,0,1,0,35,8.57,42.86
11,Carl Hagelin,LW,2019-2020,WSH,58,8,17,25,12,16,0,0,1,3,2,0,107,7.5,46.43
12,Carl Hagelin,LW,2020-2021,WSH,56,6,10,16,7,19,0,0,1,1,0,0,85,7.1,23.08
13,Carl Hagelin,LW,2021-2022,WSH,53,3,11,14,10,20,0,0,0,1,1,0,71,4.2,28.57
