,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Evgeny Kuznetsov,C,2013-2014,WSH,17,3,6,9,-2,6,0,2,1,1,0,0,22,13.64,18.52
1,Evgeny Kuznetsov,C,2014-2015,WSH,80,11,26,37,10,24,4,13,0,0,1,1,127,8.66,44.64
2,Evgeny Kuznetsov,C,2015-2016,WSH,82,20,57,77,27,32,5,18,0,0,4,2,193,10.36,47.76
3,Evgeny Kuznetsov,C,2016-2017,WSH,82,19,40,59,18,46,3,14,0,0,4,0,170,11.18,43.97
4,Evgeny Kuznetsov,C,2017-2018,WSH,79,27,56,83,3,48,7,30,1,1,8,2,187,14.44,44.2
5,Evgeny Kuznetsov,C,2018-2019,WSH,76,21,51,72,7,50,8,23,0,0,3,2,193,10.88,38.71
6,Evgeny Kuznetsov,C,2019-2020,WSH,63,19,33,52,-2,40,6,12,0,0,0,0,129,14.7,43.34
7,Evgeny Kuznetsov,C,2020-2021,WSH,41,9,20,29,7,18,1,8,0,0,4,0,78,11.5,41.38
8,Evgeny Kuznetsov,C,2021-2022,WSH,79,24,54,78,7,44,8,27,3,5,4,0,208,11.5,43.48
9,Evgeny Kuznetsov,C,2022-2023,WSH,35,5,23,28,0,24,4,10,0,0,1,0,89,5.6,47.23
