,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Lars Eller,C,2009-2010,STL,7,2,0,2,2,4,1,1,0,0,0,0,8,25,47.37
1,Lars Eller,C,2010-2011,MTL,77,7,10,17,-4,48,0,0,0,0,2,0,79,8.86,42.46
2,Lars Eller,C,2011-2012,MTL,79,16,12,28,-5,66,2,3,2,3,2,0,129,12.4,46.57
3,Lars Eller,C,2012-2013,MTL,46,8,22,30,8,45,1,5,0,0,1,0,84,9.52,49.26
4,Lars Eller,C,2013-2014,MTL,77,12,14,26,-15,68,2,3,1,2,3,0,137,8.76,53.22
5,Lars Eller,C,2014-2015,MTL,77,15,12,27,-6,42,1,2,0,2,7,1,150,10,51.66
6,Lars Eller,C,2015-2016,MTL,79,13,13,26,-13,28,1,1,1,1,2,0,149,8.72,50.61
7,Lars Eller,C,2016-2017,WSH,81,12,13,25,15,36,0,1,1,1,2,0,115,10.43,47.11
8,Lars Eller,C,2017-2018,WSH,81,18,20,38,-6,38,3,6,0,0,2,0,161,11.18,49.27
9,Lars Eller,C,2018-2019,WSH,81,13,23,36,-1,37,0,3,1,3,1,1,163,7.98,48.96
10,Lars Eller,C,2019-2020,WSH,69,16,23,39,3,48,2,6,1,2,1,1,151,10.6,51.89
11,Lars Eller,C,2020-2021,WSH,44,8,15,23,-1,21,0,4,0,0,2,0,69,11.6,50.38
12,Lars Eller,C,2021-2022,WSH,72,13,18,31,-4,40,0,2,0,0,2,1,116,11.2,49.47
13,Lars Eller,C,2022-2023,WSH,35,6,7,13,1,24,0,0,0,0,0,0,50,12,52.41
