,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Marcus Johansson,LW,2010-2011,WSH,69,13,14,27,2,10,2,3,1,1,2,0,102,12.75,40.51
1,Marcus Johansson,LW,2011-2012,WSH,80,14,32,46,-5,8,1,8,0,0,3,0,90,15.56,43.24
2,Marcus Johansson,LW,2012-2013,WSH,34,6,16,22,3,4,3,4,0,1,1,0,40,15,45.98
3,Marcus Johansson,LW,2013-2014,WSH,80,8,36,44,-21,4,6,21,0,0,1,0,107,7.48,34.67
4,Marcus Johansson,LW,2014-2015,WSH,82,20,27,47,6,10,3,15,0,0,1,0,138,14.49,43.75
5,Marcus Johansson,LW,2015-2016,WSH,74,17,29,46,12,16,6,14,0,0,7,0,132,12.88,46.04
6,Marcus Johansson,LW,2016-2017,WSH,82,24,34,58,25,10,5,19,0,0,5,2,129,18.6,46.43
7,Marcus Johansson,LW,2017-2018,NJD,29,5,9,14,-11,14,1,3,0,0,0,0,42,11.9,48.65
8,Marcus Johansson,LW,2018-2019,NJD,48,12,15,27,-15,8,2,9,0,0,1,0,103,11.65,31.82
9,Marcus Johansson,LW,2018-2019,BOS,10,1,2,3,-1,0,0,0,0,0,0,0,12,8.33,33.33
10,Marcus Johansson,LW,2019-2020,BUF,60,9,21,30,-12,20,1,6,0,0,1,1,87,10.3,40
11,Marcus Johansson,LW,2020-2021,MIN,36,6,8,14,-10,4,2,6,0,0,3,1,46,13,37.65
12,Marcus Johansson,LW,2021-2022,SEA,51,6,17,23,-22,4,3,9,0,0,1,0,81,7.4,38.75
13,Marcus Johansson,LW,2021-2022,WSH,18,3,3,6,-4,0,0,1,0,0,1,0,30,10,55.56
14,Marcus Johansson,LW,2022-2023,WSH,36,8,8,16,0,4,3,8,1,1,4,1,58,13.8,44.44
