,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nicklas Backstrom,C,2007-2008,WSH,82,14,55,69,13,24,3,25,0,0,4,1,153,9.15,46.34
1,Nicklas Backstrom,C,2008-2009,WSH,82,22,66,88,16,46,14,42,0,0,1,0,174,12.64,48.68
2,Nicklas Backstrom,C,2009-2010,WSH,82,33,68,101,37,50,11,37,0,0,4,1,222,14.86,49.93
3,Nicklas Backstrom,C,2010-2011,WSH,77,18,47,65,24,40,4,22,1,1,2,0,202,8.91,52.47
4,Nicklas Backstrom,C,2011-2012,WSH,42,14,30,44,-4,24,3,19,0,0,4,1,95,14.74,51.09
5,Nicklas Backstrom,C,2012-2013,WSH,48,8,40,48,8,20,3,18,0,0,1,0,82,9.76,51.43
6,Nicklas Backstrom,C,2013-2014,WSH,82,18,61,79,-20,54,6,44,1,1,1,0,196,9.18,50.46
7,Nicklas Backstrom,C,2014-2015,WSH,82,18,60,78,5,40,3,33,0,0,3,1,153,11.76,53.57
8,Nicklas Backstrom,C,2015-2016,WSH,75,20,50,70,17,36,3,30,0,0,4,0,129,15.5,48.56
9,Nicklas Backstrom,C,2016-2017,WSH,82,23,63,86,17,38,8,35,0,0,5,2,162,14.2,51.39
10,Nicklas Backstrom,C,2017-2018,WSH,81,21,50,71,5,46,7,26,0,0,4,1,165,12.73,51.2
11,Nicklas Backstrom,C,2018-2019,WSH,80,22,52,74,2,30,7,25,0,0,5,1,169,13.02,48.64
12,Nicklas Backstrom,C,2019-2020,WSH,61,12,42,54,-1,14,2,18,0,0,0,0,132,9.1,49.24
13,Nicklas Backstrom,C,2020-2021,WSH,55,15,38,53,0,14,5,22,0,0,0,0,91,16.5,48.29
14,Nicklas Backstrom,C,2021-2022,WSH,47,6,25,31,-8,12,1,14,0,0,1,1,68,8.8,46.38
